set_id,draw_order,semantic_control_indices,episodic_control_indices,semantic_control_labels,episodic_control_labels,mean_standardized_match_distance
102,semantic_first,17;257;139;238;76;255;178;293;159;190;317;69;177,105;294;107;232;79;355;167;319;2;185;109;349;115;231;49;308;288;337;217,L_FFC;R_6r;L_TPOJ2;R_a24pr;L_a47r;R_47l;L_a32pr;R_FOP3;L_VMV2;R_PEF;R_PH;L_8BL;L_PI,L_PoI2;R_FOP2;L_FOP4;R_3a;L_IFJp;R_STSva;L_Ig;R_TPOJ2;L_V6;R_V4;L_Pir;R_p10p;L_PFt;R_2;L_MIP;R_STSdp;R_MI;R_V3CD;R_23c,0.9606248716419405
103,episodic_first,43;205;139;298;65;337;52;254;92;345;198;78;74,49;294;4;295;18;331;55;357;140;221;175;355;5;229;54;234;253;271;256,L_6ma;R_SFL;L_TPOJ2;R_PreS;L_47m;R_V3CD;L_3a;R_45;L_OFC;R_pOFC;R_V3B;L_IFJa;L_45,L_MIP;R_FOP2;L_V3;R_PFt;L_V3B;R_V6A;L_6v;R_PI;L_TPOJ3;R_7AL;L_STSva;R_STSva;L_V4;R_MIP;L_6mp;R_6mp;R_44;R_13l;R_a47r,0.9523897955641016
104,semantic_first,28;266;152;198;65;200;11;220;125;190;218;91;47,129;347;79;355;98;215;15;357;146;232;179;269;38;327;166;205;278;268;230,L_7Pm;R_9a;L_VMV1;R_V3B;L_47m;R_LO2;L_55b;R_24dv;L_PHA1;R_PEF;R_5L;L_13l;L_LIPv,L_STSvp;R_Ig;L_IFJp;R_STSva;L_43;R_5m;L_V7;R_PI;L_PFop;R_3a;L_p24;R_10pp;L_5L;R_PF;L_PoI1;R_SFL;R_43;R_a10p;R_1,1.0617039723564061
105,episodic_first,5;291;63;202;61;349;57;237;118;190;279;99;3,59;219;116;232;139;218;113;326;70;295;55;251;37;323;54;231;217;200;234,L_V4;R_AAIC;L_p32;R_MT;L_d32;R_p10p;L_33pr;R_33pr;L_PreS;R_PEF;R_OP4;L_OP4;L_V2,L_p32pr;R_24dd;L_AIP;R_3a;L_TPOJ2;R_5L;L_FOP3;R_PFop;L_9p;R_PFt;L_6v;R_10d;L_23c;R_IP2;L_6mp;R_2;R_23c;R_LO2;R_6mp,1.005042306325401
106,semantic_first,52;295;89;186;22;268;17;184;63;238;273;118;129,12;219;98;195;146;198;38;226;158;185;27;358;44;357;9;323;325;289;275,L_3a;R_PFt;L_10pp;R_V8;L_MT;R_a10p;L_FFC;R_V3;L_p32;R_a24pr;R_47s;L_PreS;L_STSvp,L_V3A;R_24dd;L_43;R_V7;L_PFop;R_V3B;L_5L;R_7PC;L_LO3;R_V4;L_STV;R_a32pr;L_7Am;R_PI;L_FEF;R_IP2;R_IP0;R_Pir;R_6a,0.9459340450183842
107,episodic_first,77;263;151;338;93;199;4;237;125;305;279;90;112,129;181;74;221;104;339;24;286;17;225;27;320;3;327;73;233;252;349;288,L_6r;R_46;L_V6A;R_LO3;L_47s;R_LO1;L_V3;R_33pr;L_PHA1;R_PHA1;R_OP4;L_11l;L_FOP1,L_STSvp;R_MST;L_45;R_7AL;L_PFcm;R_VMV2;L_PSL;R_TA2;L_FFC;R_7PL;L_STV;R_TPOJ3;L_V2;R_PF;L_44;R_6d;R_8C;R_p10p;R_MI,1.0193552905897114
108,semantic_first,136;257;151;271;159;339;42;184;1;273;207;81;78,73;219;116;323;167;331;79;250;27;251;157;355;156;231;107;188;230;199;263,L_PHT;R_6r;L_V6A;R_13l;L_VMV2;R_VMV2;L_SCEF;R_V3;L_MST;R_47s;R_STV;L_IFSa;L_IFJa,L_44;R_24dd;L_AIP;R_IP2;L_Ig;R_V6A;L_IFJp;R_9p;L_STV;R_10d;L_V3CD;R_STSva;L_FST;R_2;L_FOP4;R_3b;R_1;R_LO1;R_46,0.9275290897109394
109,episodic_first,59;188;125;251;65;268;88;237;164;269;279;92;25,27;215;24;286;139;271;157;326;15;232;146;198;46;226;66;328;253;199;257,L_p32pr;R_3b;L_PHA1;R_10d;L_47m;R_a10p;L_a10p;R_33pr;L_s32;R_10pp;R_OP4;L_OFC;L_SFL,L_STV;R_5m;L_PSL;R_TA2;L_TPOJ2;R_13l;L_V3CD;R_PFop;L_V7;R_3a;L_PFop;R_V3B;L_7PC;R_7PC;L_8Av;R_PFm;R_44;R_LO1;R_6r,0.9732430793860873
110,semantic_first,143;185;158;348;153;245;69;317;125;238;225;21;107,144;289;5;309;115;339;179;269;79;207;55;198;43;208;44;295;252;258;263,L_IP2;R_V4;L_LO3;R_FOP5;L_VMV3;R_47m;L_8BL;R_PH;L_PHA1;R_a24pr;R_7PL;L_PIT;L_FOP4,L_IP1;R_Pir;L_V4;R_STSvp;L_PFt;R_VMV2;L_p24;R_10pp;L_IFJp;R_STV;L_6v;R_V3B;L_6ma;R_7Pm;L_7Am;R_PFt;R_8C;R_IFJa;R_46,1.0017077261462715
111,episodic_first,17;257;63;298;93;350;116;355;65;359;279;96;4,144;358;156;266;48;245;157;251;28;250;108;325;3;221;51;323;185;349;256,L_FFC;R_6r;L_p32;R_PreS;L_47s;R_p47r;L_AIP;R_STSva;L_47m;R_p24;R_OP4;L_i6-8;L_V3,L_IP1;R_a32pr;L_FST;R_9a;L_VIP;R_47m;L_V3CD;R_10d;L_7Pm;R_9p;L_MI;R_IP0;L_V2;R_7AL;L_2;R_IP2;R_V4;R_p10p;R_a47r,1.1110685888905352
112,semantic_first,105;296;18;197;154;274;81;184;84;345;317;19;156,36;292;53;269;94;215;100;300;108;355;86;218;38;327;48;252;229;294;285,L_PoI2;R_AIP;L_V3B;R_FFC;L_PHA2;R_LIPd;L_IFSa;R_V3;L_a9-46v;R_pOFC;R_PH;L_LO1;L_FST,L_5mv;R_FOP1;L_6d;R_10pp;L_LIPd;R_5m;L_OP1;R_ProS;L_MI;R_STSva;L_9a;R_5L;L_5L;R_PF;L_VIP;R_8C;R_MIP;R_FOP2;R_PoI2,0.9824009200299672
113,episodic_first,72;225;125;349;164;200;76;189;154;334;227;20;114,36;199;99;323;18;347;139;331;59;232;105;185;147;221;50;233;229;239;275,L_8C;R_7PL;L_PHA1;R_p10p;L_s32;R_LO2;L_a47r;R_FEF;L_PHA2;R_PHA2;R_LIPv;L_LO2;L_FOP2,L_5mv;R_LO1;L_OP4;R_IP2;L_V3B;R_Ig;L_TPOJ2;R_V6A;L_p32pr;R_3a;L_PoI2;R_V4;L_PF;R_7AL;L_1;R_6d;R_MIP;R_p32pr;R_6a,0.8785047713474059
114,semantic_first,144;196;91;251;126;201;84;325;61;302;198;75;3,9;284;137;274;104;245;139;232;140;309;175;331;24;188;49;187;296;289;253,L_IP1;R_IPS1;L_13l;R_10d;L_PHA3;R_PIT;L_a9-46v;R_IP0;L_d32;R_STGa;R_V3B;L_47l;L_V2,L_FEF;R_PFcm;L_PH;R_LIPd;L_PFcm;R_47m;L_TPOJ2;R_3a;L_TPOJ3;R_STSvp;L_STSva;R_V6A;L_PSL;R_3b;L_MIP;R_4;R_AIP;R_Pir;R_44,0.9398903547259891
115,episodic_first,43;263;79;273;153;238;84;239;117;301;196;118;137,145;280;78;300;113;245;2;195;140;309;80;274;104;275;144;346;227;220;210,L_6ma;R_46;L_IFJp;R_47s;L_VMV3;R_a24pr;L_a9-46v;R_p32pr;L_EC;R_PeEc;R_IPS1;L_PreS;L_PH,L_IP0;R_OP1;L_IFJa;R_ProS;L_FOP3;R_47m;L_V6;R_V7;L_TPOJ3;R_STSvp;L_IFSp;R_LIPd;L_PFcm;R_6a;L_IP1;R_PoI1;R_LIPv;R_24dv;R_POS1,0.8429050715543511
116,semantic_first,141;237;35;190;75;272;5;253;91;298;182;21;3,48;331;38;225;80;251;2;309;15;195;139;323;24;188;49;194;207;268;229,L_DVT;R_33pr;L_5m;R_PEF;L_47l;R_OFC;L_V4;R_44;L_13l;R_PreS;R_V6;L_PIT;L_V2,L_VIP;R_V6A;L_5L;R_7PL;L_IFSp;R_10d;L_V6;R_STSvp;L_V7;R_V7;L_TPOJ2;R_IP2;L_PSL;R_3b;L_MIP;R_POS2;R_STV;R_a10p;R_MIP,1.007490203262458
117,episodic_first,54;208;17;268;92;255;116;196;159;291;331;4;137,105;325;3;269;108;332;146;250;15;309;49;357;5;253;77;230;229;202;233,L_6mp;R_7Pm;L_FFC;R_a10p;L_OFC;R_47l;L_AIP;R_IPS1;L_VMV2;R_AAIC;R_V6A;L_V3;L_PH,L_PoI2;R_IP0;L_V2;R_10pp;L_MI;R_VMV1;L_PFop;R_9p;L_V7;R_STSvp;L_MIP;R_PI;L_V4;R_44;L_6r;R_1;R_MIP;R_MT;R_6d,1.0288456528759087
118,semantic_first,129;222;158;220;121;264;111;189;22;273;218;153;53,83;292;91;319;157;185;140;232;113;217;48;269;41;346;147;205;275;336;228,L_STSvp;R_SCEF;L_LO3;R_24dv;L_PeEc;R_a9-46v;L_AAIC;R_FEF;L_MT;R_47s;R_5L;L_VMV3;L_6d,L_46;R_FOP1;L_13l;R_TPOJ2;L_V3CD;R_V4;L_TPOJ3;R_3a;L_FOP3;R_23c;L_VIP;R_10pp;L_7AL;R_PoI1;L_PF;R_SFL;R_6a;R_FST;R_VIP,0.9662326261130193
119,episodic_first,136;222;15;264;19;271;71;210;164;306;207;11;100,48;331;169;355;108;332;94;357;86;221;2;273;147;233;148;229;230;336;205,L_PHT;R_SCEF;L_V7;R_a9-46v;L_LO1;R_13l;L_10d;R_POS1;L_s32;R_PHA3;R_STV;L_55b;L_OP1,L_VIP;R_V6A;L_p10p;R_STSva;L_MI;R_VMV1;L_LIPd;R_PI;L_9a;R_7AL;L_V6;R_47s;L_PF;R_6d;L_PFm;R_MIP;R_1;R_FST;R_SFL,0.8021010295236647
120,semantic_first,96;261;158;198;121;201;42;205;159;302;250;75;47,129;294;78;228;169;273;175;225;28;256;109;208;147;227;143;285;230;202;184,L_i6-8;R_IFSa;L_LO3;R_V3B;L_PeEc;R_PIT;L_SCEF;R_SFL;L_VMV2;R_STGa;R_9p;L_47l;L_LIPv,L_STSvp;R_FOP2;L_IFJa;R_VIP;L_p10p;R_47s;L_STSva;R_7PL;L_7Pm;R_a47r;L_Pir;R_7Pm;L_PF;R_LIPv;L_IP2;R_PoI2;R_1;R_MT;R_V3,0.889408237469071
121,episodic_first,70;253;155;289;11;198;110;317;169;301;196;82;5,108;336;74;286;139;195;151;228;15;326;144;225;25;229;107;185;252;292;235,L_9p;R_44;L_V4t;R_Pir;L_55b;R_V3B;L_AVI;R_PH;L_p10p;R_PeEc;R_IPS1;L_p9-46v;L_V4,L_MI;R_FST;L_45;R_TA2;L_TPOJ2;R_V7;L_V6A;R_VIP;L_V7;R_PFop;L_IP1;R_7PL;L_SFL;R_MIP;L_FOP4;R_V4;R_8C;R_FOP1;R_6v,1.03802070236563
122,semantic_first,70;296;15;350;168;200;11;254;65;334;225;81;137,49;325;4;286;143;245;108;306;2;295;97;227;14;233;107;235;319;255;234,L_9p;R_AIP;L_V7;R_p47r;L_FOP5;R_LO2;L_55b;R_45;L_47m;R_PHA2;R_7PL;L_IFSa;L_PH,L_MIP;R_IP0;L_V3;R_TA2;L_IP2;R_47m;L_MI;R_PHA3;L_V6;R_PFt;L_s6-8;R_LIPv;L_POS2;R_6d;L_FOP4;R_6v;R_TPOJ2;R_47l;R_6mp,0.9021006020200782
123,episodic_first,59;263;79;198;76;200;39;189;88;344;185;78;104,166;215;16;309;24;300;94;208;97;217;139;225;41;221;77;319;355;249;205,L_p32pr;R_46;L_IFJp;R_V3B;L_a47r;R_LO2;L_24dd;R_FEF;L_a10p;R_s32;R_V4;L_IFJa;L_PFcm,L_PoI1;R_5m;L_IPS1;R_STSvp;L_PSL;R_ProS;L_LIPd;R_7Pm;L_s6-8;R_23c;L_TPOJ2;R_7PL;L_7AL;R_7AL;L_6r;R_TPOJ2;R_STSva;R_8BL;R_SFL,0.9895190254413566
124,semantic_first,129;237;140;241;10;332;39;278;35;259;358;168;116,136;292;78;185;113;317;167;207;139;296;157;355;107;234;166;328;229;258;252,L_STSvp;R_33pr;L_TPOJ3;R_d32;L_PEF;R_VMV1;L_24dd;R_43;L_5m;R_IFJp;R_a32pr;L_FOP5;L_AIP,L_PHT;R_FOP1;L_IFJa;R_V4;L_FOP3;R_PH;L_Ig;R_STV;L_TPOJ2;R_AIP;L_V3CD;R_STSva;L_FOP4;R_6mp;L_PoI1;R_PFm;R_MIP;R_IFJa;R_8C,0.8904341907791145
125,episodic_first,66;208;60;336;10;320;57;255;154;238;325;168;52,73;180;78;323;157;339;113;319;38;300;108;309;129;188;8;295;184;181;217,L_8Av;R_7Pm;L_a24;R_FST;L_PEF;R_TPOJ3;L_33pr;R_47l;L_PHA2;R_a24pr;R_IP0;L_FOP5;L_3a,L_44;R_V1;L_IFJa;R_IP2;L_V3CD;R_VMV2;L_FOP3;R_TPOJ2;L_5L;R_ProS;L_MI;R_STSvp;L_STSvp;R_3b;L_3b;R_PFt;R_V3;R_MST;R_23c,0.9247222682024736
126,semantic_first,96;256;178;198;92;255;40;293;89;332;331;69;100,59;201;5;208;80;347;105;342;15;225;151;355;54;253;36;193;278;202;296,L_i6-8;R_a47r;L_a32pr;R_V3B;L_OFC;R_47l;L_24dv;R_FOP3;L_10pp;R_VMV1;R_V6A;L_8BL;L_OP1,L_p32pr;R_PIT;L_V4;R_7Pm;L_IFSp;R_Ig;L_PoI2;R_VVC;L_V7;R_7PL;L_V6A;R_STSva;L_6mp;R_44;L_5mv;R_RSC;R_43;R_MT;R_AIP,0.9841975754734531
127,episodic_first,166;237;178;264;20;337;52;256;121;332;347;153;115,36;215;99;207;175;274;27;302;145;355;59;227;24;317;148;226;257;271;252,L_PoI1;R_33pr;L_a32pr;R_a9-46v;L_LO2;R_V3CD;L_3a;R_a47r;L_PeEc;R_VMV1;R_Ig;L_VMV3;L_PFt,L_5mv;R_5m;L_OP4;R_STV;L_STSva;R_LIPd;L_STV;R_STGa;L_IP0;R_STSva;L_p32pr;R_LIPv;L_PSL;R_PH;L_PFm;R_7PC;R_6r;R_13l;R_8C,0.9124821033387329
128,semantic_first,128;227;151;251;71;350;110;266;164;274;347;116;90,129;294;3;291;113;325;140;319;139;342;167;288;53;188;44;185;296;241;233,L_STSdp;R_LIPv;L_V6A;R_10d;L_10d;R_p47r;L_AVI;R_9a;L_s32;R_LIPd;R_Ig;L_AIP;L_11l,L_STSvp;R_FOP2;L_V2;R_AAIC;L_FOP3;R_IP0;L_TPOJ3;R_TPOJ2;L_TPOJ2;R_VVC;L_Ig;R_MI;L_6d;R_3b;L_7Am;R_V4;R_AIP;R_d32;R_6d,1.0474577062505688
129,episodic_first,83;296;125;198;19;272;136;184;63;306;207;90;24,128;316;47;251;115;238;146;221;55;295;175;358;8;308;148;319;218;287;256,L_46;R_AIP;L_PHA1;R_V3B;L_LO1;R_OFC;L_PHT;R_V3;L_p32;R_PHA3;R_STV;L_11l;L_PSL,L_STSdp;R_PHT;L_LIPv;R_10d;L_PFt;R_a24pr;L_PFop;R_7AL;L_6v;R_PFt;L_STSva;R_a32pr;L_3b;R_STSdp;L_PFm;R_TPOJ2;R_5L;R_FOP4;R_a47r,0.9601638319757837
130,semantic_first,70;317;179;238;164;199;17;223;91;302;218;16;115,105;284;5;261;113;339;140;300;94;205;80;320;148;253;83;235;355;219;319,L_9p;R_PH;L_p24;R_a24pr;L_s32;R_LO1;L_FFC;R_6ma;L_13l;R_STGa;R_5L;L_IPS1;L_PFt,L_PoI2;R_PFcm;L_V4;R_IFSa;L_FOP3;R_VMV2;L_TPOJ3;R_ProS;L_LIPd;R_SFL;L_IFSp;R_TPOJ3;L_PFm;R_44;L_46;R_6v;R_STSva;R_24dd;R_TPOJ2,1.0235448671254737
131,episodic_first,166;237;60;289;84;201;72;205;61;245;204;11;53,12;219;5;228;151;339;109;208;17;323;2;319;38;328;95;229;230;268;288,L_PoI1;R_33pr;L_a24;R_Pir;L_a9-46v;R_PIT;L_8C;R_SFL;L_d32;R_47m;R_PSL;L_55b;L_6d,L_V3A;R_24dd;L_V4;R_VIP;L_V6A;R_VMV2;L_Pir;R_7Pm;L_FFC;R_IP2;L_V6;R_TPOJ2;L_5L;R_PFm;L_6a;R_MIP;R_1;R_a10p;R_MI,0.9503539778769077
132,semantic_first,3;261;17;258;1;190;81;293;58;306;218;21;104,138;294;16;309;79;325;38;195;27;205;28;227;46;208;143;224;196;349;253,L_V2;R_IFSa;L_FFC;R_IFJa;L_MST;R_PEF;L_IFSa;R_FOP3;L_a24pr;R_PHA3;R_5L;L_PIT;L_PFcm,L_TPOJ1;R_FOP2;L_IPS1;R_STSvp;L_IFJp;R_IP0;L_5L;R_V7;L_STV;R_SFL;L_7Pm;R_LIPv;L_7PC;R_7Pm;L_IP2;R_7Am;R_IPS1;R_p10p;R_44,0.9031580385689902
133,episodic_first,66;260;63;338;75;255;39;249;164;302;274;81;101,45;279;47;309;38;293;146;357;15;296;94;225;54;218;37;224;184;349;189,L_8Av;R_IFSp;L_p32;R_LO3;L_47l;R_47l;L_24dd;R_8BL;L_s32;R_STGa;R_LIPd;L_IFSa;L_OP2-3,L_7PL;R_OP4;L_LIPv;R_STSvp;L_5L;R_FOP3;L_PFop;R_PI;L_V7;R_AIP;L_LIPd;R_7PL;L_6mp;R_5L;L_23c;R_7Am;R_V3;R_p10p;R_FEF,0.8656511562520148
134,semantic_first,39;296;91;349;71;331;17;184;58;245;274;82;156,175;294;101;235;104;215;105;295;12;326;2;325;37;205;46;285;207;202;189,L_24dd;R_AIP;L_13l;R_p10p;L_10d;R_V6A;L_FFC;R_V3;L_a24pr;R_47m;R_LIPd;L_p9-46v;L_FST,L_STSva;R_FOP2;L_OP2-3;R_6v;L_PFcm;R_5m;L_PoI2;R_PFt;L_V3A;R_PFop;L_V6;R_IP0;L_23c;R_SFL;L_7PC;R_PoI2;R_STV;R_MT;R_FEF,0.9579467075568047
135,episodic_first,52;237;63;337;153;201;111;355;22;306;331;75;25,80;202;100;326;5;342;24;207;86;259;175;251;104;230;46;224;225;220;266,L_3a;R_33pr;L_p32;R_V3CD;L_VMV3;R_PIT;L_AAIC;R_STSva;L_MT;R_PHA3;R_V6A;L_47l;L_SFL,L_IFSp;R_MT;L_OP1;R_PFop;L_V4;R_VVC;L_PSL;R_STV;L_9a;R_IFJp;L_STSva;R_10d;L_PFcm;R_1;L_7PC;R_7Am;R_7PL;R_24dv;R_9a,0.8205143802240897
136,semantic_first,47;188;18;337;154;274;17;325;20;195;358;92;76,77;219;101;207;24;286;151;295;97;319;179;225;74;221;44;235;233;320;210,L_LIPv;R_3b;L_V3B;R_V3CD;L_PHA2;R_LIPd;L_FFC;R_IP0;L_LO2;R_V7;R_a32pr;L_OFC;L_a47r,L_6r;R_24dd;L_OP2-3;R_STV;L_PSL;R_TA2;L_V6A;R_PFt;L_s6-8;R_TPOJ2;L_p24;R_7PL;L_45;R_7AL;L_7Am;R_6v;R_6d;R_TPOJ3;R_POS1,1.0160816960025956
137,episodic_first,73;250;140;268;20;197;40;205;58;333;278;81;99,59;292;137;300;145;347;27;221;45;218;167;269;3;328;37;224;233;241;346,L_44;R_9p;L_TPOJ3;R_a10p;L_LO2;R_FFC;L_24dv;R_SFL;L_a24pr;R_VMV3;R_43;L_IFSa;L_OP4,L_p32pr;R_FOP1;L_PH;R_ProS;L_IP0;R_Ig;L_STV;R_7AL;L_7PL;R_5L;L_Ig;R_10pp;L_V2;R_PFm;L_23c;R_7Am;R_6d;R_d32;R_PoI1,0.9024431432686473
138,semantic_first,28;266;155;190;65;271;88;189;91;359;218;78;177,144;280;107;323;108;245;48;355;27;326;59;185;25;224;148;230;293;336;263,L_7Pm;R_9a;L_V4t;R_PEF;L_47m;R_13l;L_a10p;R_FEF;L_13l;R_p24;R_5L;L_IFJa;L_PI,L_IP1;R_OP1;L_FOP4;R_IP2;L_MI;R_47m;L_VIP;R_STSva;L_STV;R_PFop;L_p32pr;R_V4;L_SFL;R_7Am;L_PFm;R_1;R_FOP3;R_FST;R_46,0.9668909145249098
139,episodic_first,52;250;122;348;93;264;82;237;118;334;320;81;16,59;192;156;185;27;293;151;235;28;309;146;215;50;319;41;193;288;197;227,L_3a;R_9p;L_STGa;R_FOP5;L_47s;R_a9-46v;L_p9-46v;R_33pr;L_PreS;R_PHA2;R_TPOJ3;L_IFSa;L_IPS1,L_p32pr;R_V3A;L_FST;R_V4;L_STV;R_FOP3;L_V6A;R_6v;L_7Pm;R_STSvp;L_PFop;R_5m;L_1;R_TPOJ2;L_7AL;R_RSC;R_MI;R_FFC;R_LIPv,0.9147080282046105
140,semantic_first,3;237;140;239;22;272;61;358;155;344;207;1;99,45;337;101;228;169;278;100;326;151;259;15;218;47;275;52;226;250;316;261,L_V2;R_33pr;L_TPOJ3;R_p32pr;L_MT;R_OFC;L_d32;R_a32pr;L_V4t;R_s32;R_STV;L_MST;L_OP4,L_7PL;R_V3CD;L_OP2-3;R_VIP;L_p10p;R_43;L_OP1;R_PFop;L_V6A;R_IFJp;L_V7;R_5L;L_LIPv;R_6a;L_3a;R_7PC;R_9p;R_PHT;R_IFSa,0.9988460575176565
141,episodic_first,57;225;157;264;154;201;116;266;159;332;355;20;129,45;281;99;269;24;274;97;228;179;300;151;218;148;188;166;253;189;181;256,L_33pr;R_7PL;L_V3CD;R_a9-46v;L_PHA2;R_PIT;L_AIP;R_9a;L_VMV2;R_VMV1;R_STSva;L_LO2;L_STSvp,L_7PL;R_OP2-3;L_OP4;R_10pp;L_PSL;R_LIPd;L_s6-8;R_VIP;L_p24;R_ProS;L_V6A;R_5L;L_PFm;R_3b;L_PoI1;R_44;R_FEF;R_MST;R_a47r,0.8692926355441246
142,semantic_first,45;250;158;268;21;271;96;254;154;243;227;88;100,55;180;104;232;2;273;105;300;59;295;151;349;30;253;8;187;205;336;266,L_7PL;R_9p;L_LO3;R_a10p;L_PIT;R_13l;L_i6-8;R_45;L_PHA2;R_p32;R_LIPv;L_a10p;L_OP1,L_6v;R_V1;L_PFcm;R_3a;L_V6;R_47s;L_PoI2;R_ProS;L_p32pr;R_PFt;L_V6A;R_p10p;L_POS1;R_44;L_3b;R_4;R_SFL;R_FST;R_9a,0.8645190842031554
143,episodic_first,66;263;155;289;75;201;3;257;88;305;185;96;113,73;347;156;286;115;198;12;300;2;326;97;273;52;231;36;234;218;258;346,L_8Av;R_46;L_V4t;R_Pir;L_47l;R_PIT;L_V2;R_6r;L_a10p;R_PHA1;R_V4;L_i6-8;L_FOP3,L_44;R_Ig;L_FST;R_TA2;L_PFt;R_V3B;L_V3A;R_ProS;L_V6;R_PFop;L_s6-8;R_47s;L_3a;R_2;L_5mv;R_6mp;R_5L;R_IFJa;R_PoI1,1.0339899090574232
144,semantic_first,141;259;157;220;118;255;72;254;60;298;355;82;114,12;336;91;232;156;274;79;185;18;228;27;326;37;233;9;226;196;239;261,L_DVT;R_IFJp;L_V3CD;R_24dv;L_PreS;R_47l;L_8C;R_45;L_a24;R_PreS;R_STSva;L_p9-46v;L_FOP2,L_V3A;R_FST;L_13l;R_3a;L_FST;R_LIPd;L_IFJp;R_V4;L_V3B;R_VIP;L_STV;R_PFop;L_23c;R_6d;L_FEF;R_7PC;R_IPS1;R_p32pr;R_IFSa,0.9273449034314936
145,episodic_first,96;259;152;337;22;350;69;293;154;245;278;19;112,36;279;76;221;129;325;139;185;179;319;86;295;128;233;51;226;184;201;235,L_i6-8;R_IFJp;L_VMV1;R_V3CD;L_MT;R_p47r;L_8BL;R_FOP3;L_PHA2;R_47m;R_43;L_LO1;L_FOP1,L_5mv;R_OP4;L_a47r;R_7AL;L_STSvp;R_IP0;L_TPOJ2;R_V4;L_p24;R_TPOJ2;L_9a;R_PFt;L_STSdp;R_6d;L_2;R_7PC;R_V3;R_PIT;R_6v,0.906848449977397
146,semantic_first,166;228;18;298;88;274;52;196;118;269;331;0;78,108;292;98;357;2;238;151;323;80;355;38;293;36;235;51;185;188;254;346,L_PoI1;R_VIP;L_V3B;R_PreS;L_a10p;R_LIPd;L_3a;R_IPS1;L_PreS;R_10pp;R_V6A;L_V1;L_IFJa,L_MI;R_FOP1;L_43;R_PI;L_V6;R_a24pr;L_V6A;R_IP2;L_IFSp;R_STSva;L_5L;R_FOP3;L_5mv;R_6v;L_2;R_V4;R_3b;R_45;R_PoI1,0.9752277172421372
147,episodic_first,105;261;60;359;20;190;84;210;10;332;293;118;38,144;284;78;259;24;250;2;326;140;207;86;300;53;229;50;357;205;264;296,L_PoI2;R_IFSa;L_a24;R_p24;L_LO2;R_PEF;L_a9-46v;R_POS1;L_PEF;R_VMV1;R_FOP3;L_PreS;L_5L,L_IP1;R_PFcm;L_IFJa;R_IFJp;L_PSL;R_9p;L_V6;R_PFop;L_TPOJ3;R_STV;L_9a;R_ProS;L_6d;R_MIP;L_1;R_PI;R_SFL;R_a9-46v;R_AIP,0.8736492785789638
148,semantic_first,128;259;122;359;1;271;71;349;154;298;355;96;129,144;331;4;207;27;198;175;274;17;295;139;225;3;317;44;193;250;337;296,L_STSdp;R_IFJp;L_STGa;R_p24;L_MST;R_13l;L_10d;R_p10p;L_PHA2;R_PreS;R_STSva;L_i6-8;L_STSvp,L_IP1;R_V6A;L_V3;R_STV;L_STV;R_V3B;L_STSva;R_LIPd;L_FFC;R_PFt;L_TPOJ2;R_7PL;L_V2;R_PH;L_7Am;R_RSC;R_9p;R_V3CD;R_AIP,0.9274114254729273
149,episodic_first,17;221;109;200;10;332;40;349;92;342;347;22;169,77;336;4;208;2;358;139;232;140;300;138;185;25;308;43;233;293;192;228,L_FFC;R_7AL;L_Pir;R_LO2;L_PEF;R_VMV1;L_24dv;R_p10p;L_OFC;R_VVC;R_Ig;L_MT;L_p10p,L_6r;R_FST;L_V3;R_7Pm;L_V6;R_a32pr;L_TPOJ2;R_3a;L_TPOJ3;R_ProS;L_TPOJ1;R_V4;L_SFL;R_STSdp;L_6ma;R_6d;R_FOP3;R_V3A;R_VIP,1.0499626830716033
150,semantic_first,52;288;169;238;19;251;178;189;154;298;355;168;5,175;284;104;319;114;331;24;198;139;291;80;196;115;231;129;230;221;350;263,L_3a;R_MI;L_p10p;R_a24pr;L_LO1;R_10d;L_a32pr;R_FEF;L_PHA2;R_PreS;R_STSva;L_FOP5;L_V4,L_STSva;R_PFcm;L_PFcm;R_TPOJ2;L_FOP2;R_V6A;L_PSL;R_V3B;L_TPOJ2;R_AAIC;L_IFSp;R_IPS1;L_PFt;R_2;L_STSvp;R_1;R_7AL;R_p47r;R_46,0.9059594414037455
151,episodic_first,47;237;60;348;20;271;84;317;22;300;254;92;104,166;358;116;355;143;198;179;208;139;195;175;319;129;231;148;193;235;279;257,L_LIPv;R_33pr;L_a24;R_FOP5;L_LO2;R_13l;L_a9-46v;R_PH;L_MT;R_ProS;R_45;L_OFC;L_PFcm,L_PoI1;R_a32pr;L_AIP;R_STSva;L_IP2;R_V3B;L_p24;R_7Pm;L_TPOJ2;R_V7;L_STSva;R_TPOJ2;L_STSvp;R_2;L_PFm;R_RSC;R_6v;R_OP4;R_6r,0.8899492405404466
152,semantic_first,57;288;18;201;93;338;111;230;58;251;331;90;116,49;349;100;319;48;250;24;228;38;218;175;198;25;285;50;296;257;202;317,L_33pr;R_MI;L_V3B;R_PIT;L_47s;R_LO3;L_AAIC;R_1;L_a24pr;R_10d;R_V6A;L_11l;L_AIP,L_MIP;R_p10p;L_OP1;R_TPOJ2;L_VIP;R_9p;L_PSL;R_VIP;L_5L;R_5L;L_STSva;R_V3B;L_SFL;R_PoI2;L_1;R_AIP;R_6r;R_MT;R_PH,0.9580498757012101
